asciiname,population,location
Udupi,165000,"https://www.google.com/maps/?q=13.33467,74.74617"
Loni,164810,"https://www.google.com/maps/?q=28.75143,77.29023"
Sitapur,164435,"https://www.google.com/maps/?q=27.56192,80.68265"
Shivpuri,164215,"https://www.google.com/maps/?q=25.42378,77.66223"
Bhadravati,163903,"https://www.google.com/maps/?q=13.84846,75.70502"
Adoni,163631,"https://www.google.com/maps/?q=15.62788,77.27495"
Veraval,163326,"https://www.google.com/maps/?q=20.9077,70.36786"
Sambalpur,162887,"https://www.google.com/maps/?q=21.46527,83.97573"
Gadag,162569,"https://www.google.com/maps/?q=15.42977,75.62971"
Unnao,161671,"https://www.google.com/maps/?q=26.54706,80.48781"
Budaun,161555,"https://www.google.com/maps/?q=28.03811,79.12668"
Jind,161260,"https://www.google.com/maps/?q=29.31577,76.31502"
Madhyamgram,161126,"https://www.google.com/maps/?q=22.68944,88.44594"
Jamuria,160242,"https://www.google.com/maps/?q=23.70468,87.07872"
Jaigaon,158664,"https://www.google.com/maps/?q=26.84766,89.37558"
Cuddalore,158569,"https://www.google.com/maps/?q=11.75617,79.76693"
Orai,158265,"https://www.google.com/maps/?q=25.99023,79.45334"
Hoshiarpur,158142,"https://www.google.com/maps/?q=31.53723,75.91269"
Pallavaram,157145,"https://www.google.com/maps/?q=12.96796,80.15025"
Hanumangarh,155687,"https://www.google.com/maps/?q=29.58182,74.32938"
Kanchipuram,155029,"https://www.google.com/maps/?q=12.83515,79.70006"
Alandur,153775,"https://www.google.com/maps/?q=13.0025,80.20611"
Guna,153689,"https://www.google.com/maps/?q=24.64691,77.3113"
Bahadurgarh,153613,"https://www.google.com/maps/?q=28.69287,76.93555"
Bharuch,153528,"https://www.google.com/maps/?q=21.69482,72.9805"
Medinipur,153349,"https://www.google.com/maps/?q=22.42114,87.32257"
Fyzabad,153047,"https://www.google.com/maps/?q=26.77549,82.15018"
Dinapore,152940,"https://www.google.com/maps/?q=25.63705,85.04794"
Silchar,152393,"https://www.google.com/maps/?q=24.82733,92.79787"
